"iso_code"	"continent"	"location"	"date"	"total_cases"	"new_cases"	"new_cases_smoothed"	"total_deaths"	"new_deaths"	"new_deaths_smoothed"	"total_cases_per_million"	"new_cases_per_million"	"new_cases_smoothed_per_million"	"total_deaths_per_million"	"new_deaths_per_million"	"new_deaths_smoothed_per_million"	"reproduction_rate"	"icu_patients"	"icu_patients_per_million"	"hosp_patients"	"hosp_patients_per_million"	"weekly_icu_admissions"	"weekly_icu_admissions_per_million"	"weekly_hosp_admissions"	"weekly_hosp_admissions_per_million"	"new_tests"	"total_tests"	"total_tests_per_thousand"	"new_tests_per_thousand"	"new_tests_smoothed"	"new_tests_smoothed_per_thousand"	"positive_rate"	"tests_per_case"	"tests_units"	"total_vaccinations"	"people_vaccinated"	"people_fully_vaccinated"	"new_vaccinations"	"new_vaccinations_smoothed"	"total_vaccinations_per_hundred"	"people_vaccinated_per_hundred"	"people_fully_vaccinated_per_hundred"	"new_vaccinations_smoothed_per_million"	"stringency_index"	"population"	"population_density"	"median_age"	"aged_65_older"	"aged_70_older"	"gdp_per_capita"	"extreme_poverty"	"cardiovasc_death_rate"	"diabetes_prevalence"	"female_smokers"	"male_smokers"	"handwashing_facilities"	"hospital_beds_per_thousand"	"life_expectancy"	"human_development_index"	"excess_mortality"
"16585"	"CAN"	"North America"	"Canada"	"2021-06-30"	1422830	604	623.286	26273	27	18.429	37698.693	16.003	16.514	696.118	0.715	0.488	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	37384820	25722762	11662058	608608	542779	99.05	68.15	30.9	14381	NA	37742157	4.037	41.4	16.984	10.797	44017.591	0.5	105.599	7.37	12	16.6	NA	2.5	82.43	0.929	NA
"17053"	"CPV"	"Africa"	"Cape Verde"	"2021-06-30"	32457	0	37.857	286	0	0.286	58377.159	0	68.09	514.4	0	0.514	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	555988	135.58	25.7	4.46	3.437	6222.554	NA	182.219	2.42	2.1	16.5	NA	2.1	72.98	0.665	NA
"17240"	"CYM"	"North America"	"Cayman Islands"	"2021-06-30"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	93525	48418	44793	NA	508	142.31	73.67	68.16	7730	NA	65720	256.496	NA	NA	NA	49903.029	NA	NA	13.22	NA	NA	NA	NA	83.92	NA	NA
"17713"	"CAF"	"Africa"	"Central African Republic"	"2021-06-30"	7141	0	0.286	98	0	0	1478.54	0	0.059	20.291	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	78685	78685	NA	NA	78	1.63	1.63	NA	16	NA	4829764	7.479	18.3	3.655	2.251	661.24	NA	435.727	6.1	NA	NA	16.603	1	53.28	0.397	NA
"18182"	"TCD"	"Africa"	"Chad"	"2021-06-30"	4951	0	0	174	0	0	301.415	0	0	10.593	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16425859	11.833	16.7	2.486	1.446	1768.153	38.4	280.995	6.1	NA	NA	5.818	NA	54.24	0.398	NA
"18676"	"CHL"	"South America"	"Chile"	"2021-06-30"	1555902	2128	3927.571	32545	56	114.143	81391.765	111.319	205.458	1702.482	2.929	5.971	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19116209	24.282	35.4	11.087	6.938	22767.037	1.3	127.993	8.46	34.2	41.5	NA	2.11	80.18	0.851	NA
"19202"	"CHN"	"Asia"	"China"	"2021-06-30"	91846	12	17.714	4636	0	0	63.812	0.008	0.012	3.221	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	1244675000	NA	NA	18941000	21253286	86.48	NA	NA	14766	NA	1439323774	147.674	38.7	10.641	5.929	15308.712	0.7	261.899	9.74	1.9	48.4	NA	4.34	76.91	0.761	NA
"19684"	"COL"	"South America"	"Colombia"	"2021-06-30"	4240982	27908	30566.571	106544	610	656.714	83347.909	548.475	600.724	2093.906	11.988	12.906	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	50882884	44.223	32.2	7.646	4.312	13254.949	4.5	124.24	7.44	4.7	13.5	65.386	1.71	77.29	0.767	NA
"20111"	"COM"	"Africa"	"Comoros"	"2021-06-30"	3936	24	3.429	146	0	0	4526.245	27.599	3.943	167.894	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	869595	437.352	20.4	2.963	1.726	1413.89	18.1	261.516	11.88	4.4	23.6	15.574	2.2	64.32	0.554	NA
"20584"	"COG"	"Africa"	"Congo"	"2021-06-30"	12596	0	27.429	165	0	0.143	2282.673	0	4.971	29.902	0	0.026	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	116110	116110	NA	NA	1924	2.1	2.1	NA	349	NA	5518092	15.405	19	3.402	2.063	4881.406	37	344.094	7.2	1.7	52.3	47.964	NA	64.57	0.574	NA
