"iso_code"	"continent"	"location"	"date"	"total_cases"	"new_cases"	"new_cases_smoothed"	"total_deaths"	"new_deaths"	"new_deaths_smoothed"	"total_cases_per_million"	"new_cases_per_million"	"new_cases_smoothed_per_million"	"total_deaths_per_million"	"new_deaths_per_million"	"new_deaths_smoothed_per_million"	"reproduction_rate"	"icu_patients"	"icu_patients_per_million"	"hosp_patients"	"hosp_patients_per_million"	"weekly_icu_admissions"	"weekly_icu_admissions_per_million"	"weekly_hosp_admissions"	"weekly_hosp_admissions_per_million"	"new_tests"	"total_tests"	"total_tests_per_thousand"	"new_tests_per_thousand"	"new_tests_smoothed"	"new_tests_smoothed_per_thousand"	"positive_rate"	"tests_per_case"	"tests_units"	"total_vaccinations"	"people_vaccinated"	"people_fully_vaccinated"	"new_vaccinations"	"new_vaccinations_smoothed"	"total_vaccinations_per_hundred"	"people_vaccinated_per_hundred"	"people_fully_vaccinated_per_hundred"	"new_vaccinations_smoothed_per_million"	"stringency_index"	"population"	"population_density"	"median_age"	"aged_65_older"	"aged_70_older"	"gdp_per_capita"	"extreme_poverty"	"cardiovasc_death_rate"	"diabetes_prevalence"	"female_smokers"	"male_smokers"	"handwashing_facilities"	"hospital_beds_per_thousand"	"life_expectancy"	"human_development_index"	"excess_mortality"
"39"	"AIA"	"North America"	"Anguilla"	"2021-04-30"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	253	NA	NA	NA	16864	NA	15002	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	81.88	NA	NA
"40"	"AIA"	"North America"	"Anguilla"	"2021-05-31"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	70	NA	NA	NA	4666	NA	15002	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	81.88	NA	NA
"41"	"ATG"	"North America"	"Antigua and Barbuda"	"2021-01-31"	234	16	5.143	7	0	0.143	2389.511	163.385	52.517	71.481	0	1.459	1.13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	97928	231.845	32.1	6.933	4.631	21490.943	NA	191.511	13.17	NA	NA	NA	3.8	77.02	0.778	NA
"42"	"ATG"	"North America"	"Antigua and Barbuda"	"2021-02-28"	730	4	18.857	14	0	0.143	7454.456	40.846	192.561	142.962	0	1.459	1.08	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	895	NA	NA	NA	9139	NA	97928	231.845	32.1	6.933	4.631	21490.943	NA	191.511	13.17	NA	NA	NA	3.8	77.02	0.778	NA
"43"	"ATG"	"North America"	"Antigua and Barbuda"	"2021-03-31"	1136	0	8	28	0	0	11600.359	0	81.693	285.924	0	0	0.75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	26836	26836	NA	NA	77	27.4	27.4	NA	786	NA	97928	231.845	32.1	6.933	4.631	21490.943	NA	191.511	13.17	NA	NA	NA	3.8	77.02	0.778	NA
"44"	"ATG"	"North America"	"Antigua and Barbuda"	"2021-04-30"	1232	0	1.429	32	0	0.143	12580.672	0	14.588	326.771	0	1.459	0.46	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	89	NA	NA	NA	909	NA	97928	231.845	32.1	6.933	4.631	21490.943	NA	191.511	13.17	NA	NA	NA	3.8	77.02	0.778	NA
"45"	"ATG"	"North America"	"Antigua and Barbuda"	"2021-05-31"	1260	1	0.286	42	0	0	12866.596	10.212	2.918	428.887	0	0	0.43	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	50329	33463	16866	NA	1278	51.39	34.17	17.22	13050	NA	97928	231.845	32.1	6.933	4.631	21490.943	NA	191.511	13.17	NA	NA	NA	3.8	77.02	0.778	NA
"46"	"ATG"	"North America"	"Antigua and Barbuda"	"2021-06-30"	1263	0	0	42	0	0	12897.231	0	0	428.887	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	97928	231.845	32.1	6.933	4.631	21490.943	NA	191.511	13.17	NA	NA	NA	3.8	77.02	0.778	NA
"47"	"ARG"	"South America"	"Argentina"	"2021-01-31"	1927239	4975	8573.714	47974	43	163.857	42642.015	110.077	189.702	1061.471	0.951	3.625	0.9	NA	NA	NA	NA	NA	NA	NA	NA	33843	5550999	122.821	0.749	37700	0.834	0.139	7.2	"tests performed"	NA	NA	NA	NA	11299	NA	NA	NA	250	79.17	45195777	16.177	31.9	11.198	7.441	18933.907	0.6	191.032	5.5	16.2	27.7	NA	5	76.67	0.845	NA
"48"	"ARG"	"South America"	"Argentina"	"2021-02-28"	2107365	3168	6147.286	51965	19	109.571	46627.476	70.095	136.015	1149.776	0.42	2.424	0.99	NA	NA	NA	NA	NA	NA	NA	NA	24608	6536151	144.619	0.544	33570	0.743	0.113	8.8	"tests performed"	1025003	731571	293432	40108	43534	2.27	1.62	0.65	963	77.31	45195777	16.177	31.9	11.198	7.441	18933.907	0.6	191.032	5.5	16.2	27.7	NA	5	76.67	0.845	NA
"49"	"ARG"	"South America"	"Argentina"	"2021-03-31"	2348821	16056	11277.714	55858	122	130.286	51969.922	355.254	249.53	1235.912	2.699	2.883	1.28	NA	NA	NA	NA	NA	NA	NA	NA	50980	7612843	168.441	1.128	41956	0.928	0.192	5.2	"tests performed"	3891932	3214538	677394	147366	80428	8.61	7.11	1.5	1780	71.76	45195777	16.177	31.9	11.198	7.441	18933.907	0.6	191.032	5.5	16.2	27.7	NA	5	76.67	0.845	NA
"50"	"ARG"	"South America"	"Argentina"	"2021-04-30"	2977363	22420	21815.857	63865	357	384.143	65877.018	496.064	482.697	1413.075	7.899	8.5	0.99	NA	NA	NA	NA	NA	NA	NA	NA	44365	9011771	199.394	0.982	38794	0.858	0.277	3.6	"tests performed"	7865213	6926650	938563	150207	151115	17.4	15.33	2.08	3344	77.31	45195777	16.177	31.9	11.198	7.441	18933.907	0.6	191.032	5.5	16.2	27.7	NA	5	76.67	0.845	NA
"51"	"ARG"	"South America"	"Argentina"	"2021-05-31"	3781784	28175	31378.429	78093	637	516.143	83675.605	623.399	694.278	1727.883	14.094	11.42	1.02	NA	NA	NA	NA	NA	NA	NA	NA	38903	10185873	225.372	0.861	38798	0.858	0.333	3	"tests performed"	12257297	9476406	2780891	137396	158261	27.12	20.97	6.15	3502	81.48	45195777	16.177	31.9	11.198	7.441	18933.907	0.6	191.032	5.5	16.2	27.7	NA	5	76.67	0.845	NA
"52"	"ARG"	"South America"	"Argentina"	"2021-06-30"	4470374	22673	20610.429	94304	636	474	98911.321	501.662	456.026	2086.567	14.072	10.488	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	20543325	16504606	4038719	321628	270934	45.45	36.52	8.94	5995	NA	45195777	16.177	31.9	11.198	7.441	18933.907	0.6	191.032	5.5	16.2	27.7	NA	5	76.67	0.845	NA
"53"	"ARM"	"Asia"	"Armenia"	"2021-01-31"	167026	125	141.429	3080	9	5.857	56366.119	42.184	47.728	1039.405	3.037	1.977	0.78	NA	NA	NA	NA	NA	NA	NA	NA	1957	648520	218.855	0.66	1763	0.595	0.08	12.5	"tests performed"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2963234	102.931	35.7	11.232	7.571	8787.58	1.8	341.01	7.11	1.5	52.1	94.043	4.2	75.09	0.776	13.25
"54"	"ARM"	"Asia"	"Armenia"	"2021-02-28"	172058	265	236.571	3192	2	4	58064.264	89.429	79.836	1077.201	0.675	1.35	1.31	NA	NA	NA	NA	NA	NA	NA	NA	4661	729267	246.105	1.573	3591	1.212	0.066	15.2	"tests performed"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2963234	102.931	35.7	11.232	7.571	8787.58	1.8	341.01	7.11	1.5	52.1	94.043	4.2	75.09	0.776	1.59
